Id Marker X Y 
58 0 3.750000e-01 5.000000e-01
59 0 2.500000e-01 3.750000e-01
60 0 6.250000e-01 5.000000e-01
61 0 0.000000e+00 3.750000e-01
62 0 1.250000e-01 5.000000e-01
63 0 7.500000e-01 6.250000e-01
64 0 5.000000e-01 6.250000e-01
65 0 6.250000e-01 7.500000e-01
66 0 8.750000e-01 7.500000e-01
67 0 1.000000e+00 6.250000e-01
68 0 2.500000e-01 6.250000e-01
69 0 1.250000e-01 7.500000e-01
70 0 0.000000e+00 6.250000e-01
71 0 3.750000e-01 7.500000e-01
72 0 1.000000e+00 8.750000e-01
73 0 8.750000e-01 1.000000e+00
74 0 7.500000e-01 8.750000e-01
75 0 5.000000e-01 8.750000e-01
76 0 6.250000e-01 1.000000e+00
77 0 2.500000e-01 8.750000e-01
78 0 3.750000e-01 1.000000e+00
79 0 0.000000e+00 8.750000e-01
80 0 1.250000e-01 1.000000e+00
81 0 9.375000e-01 6.250000e-02
82 0 4.375000e-01 6.250000e-02
83 0 8.125000e-01 6.250000e-02
84 0 3.125000e-01 6.250000e-02
85 0 5.625000e-01 6.250000e-02
86 0 6.250000e-02 6.250000e-02
87 0 6.875000e-01 6.250000e-02
88 0 1.875000e-01 6.250000e-02
89 0 9.375000e-01 1.875000e-01
90 0 4.375000e-01 1.875000e-01
91 0 5.625000e-01 1.875000e-01
92 0 8.125000e-01 1.875000e-01
93 0 6.875000e-01 1.875000e-01
94 0 3.125000e-01 1.875000e-01
95 0 1.875000e-01 1.875000e-01
96 0 8.125000e-01 3.125000e-01
97 0 9.375000e-01 3.125000e-01
98 0 3.125000e-01 3.125000e-01
99 0 4.375000e-01 3.125000e-01
100 0 6.250000e-02 1.875000e-01
101 0 5.625000e-01 3.125000e-01
102 0 6.875000e-01 3.125000e-01
103 0 6.250000e-02 3.125000e-01
104 0 1.875000e-01 3.125000e-01
105 0 9.375000e-01 4.375000e-01
106 0 8.125000e-01 4.375000e-01
107 0 6.875000e-01 4.375000e-01
108 0 9.375000e-01 5.625000e-01
109 0 8.125000e-01 5.625000e-01
110 0 4.375000e-01 4.375000e-01
111 0 5.625000e-01 4.375000e-01
112 0 3.125000e-01 4.375000e-01
113 0 4.375000e-01 5.625000e-01
114 0 3.125000e-01 5.625000e-01
115 0 1.875000e-01 4.375000e-01
116 0 5.625000e-01 5.625000e-01
117 0 6.875000e-01 5.625000e-01
118 0 6.250000e-02 4.375000e-01
119 0 6.250000e-02 5.625000e-01
120 0 1.875000e-01 5.625000e-01
121 0 6.875000e-01 6.875000e-01
122 0 8.125000e-01 6.875000e-01
123 0 5.625000e-01 6.875000e-01
124 0 4.375000e-01 6.875000e-01
125 0 5.625000e-01 8.125000e-01
126 0 6.875000e-01 8.125000e-01
127 0 9.375000e-01 6.875000e-01
128 0 9.375000e-01 8.125000e-01
129 0 8.125000e-01 8.125000e-01
130 0 1.875000e-01 6.875000e-01
131 0 3.125000e-01 6.875000e-01
